"source","nr_p_values","nr_errors","nr_decision_errors","year","journal","mean_nr_p_values_year","mean_nr_errors_year","mean_nr_decision_errors_year","nr_p_values_year","nr_errors_year","nr_decision_errors_year"
"2001-08-LaS-murfitt-mcallister-2001-the-effect-of-production-variables-in-monolog-and-dialog-on-comprehension-by-novel-listeners.pdf",7,0,0,2001,"LaS",15,1.42857142857143,0.285714285714286,105,10,2
"2001-09-LSP-louis-taylor-2001-when-the-survival-of-a-language-is-at-stake-the-future-of-inuttitut-in-arctic-quebec.pdf",22,0,0,2001,"LSP",13.3076923076923,1.61538461538462,0.384615384615385,173,21,5
"2001-09-LaS-nohara-leclair-2001-a-direct-assessment-of-the-relation-between-shared-knowledge-and-communication-in-a-referential.pdf",18,0,0,2001,"LaS",15,1.42857142857143,0.285714285714286,105,10,2
"2001-10-LSP-mcclure-et-al-2001-when-people-explain-difficult-actions-is-the-causal-question-how-or-why.pdf",38,4,1,2001,"LSP",13.3076923076923,1.61538461538462,0.384615384615385,173,21,5
"2001-10-LaS-redford-et-al-2001-constrained-emergence-of-universals-and-variation-in-syllable-systems.pdf",6,0,0,2001,"LaS",15,1.42857142857143,0.285714285714286,105,10,2
"2001-12-LSP-pedlow-et-al-2001-children-s-production-and-comprehension-of-politeness-in-requests-relationships-to-behavioral.pdf",7,3,1,2001,"LSP",13.3076923076923,1.61538461538462,0.384615384615385,173,21,5
"2001-13-LaS-taft-2001-processing-of-orthographic-structure-by-adults-of-different-reading-ability.pdf",4,0,0,2001,"LaS",15,1.42857142857143,0.285714285714286,105,10,2
"2001-14-LSP-stahlberg-et-al-2001-name-your-favorite-musician-effects-of-masculine-generics-and-of-their-alternatives-in-german.pdf",6,0,0,2001,"LSP",13.3076923076923,1.61538461538462,0.384615384615385,173,21,5
"2001-14-LaS-weber-2001-help-or-hindrance-how-violation-of-different-assimilation-rules-affects-spoken-language-processing.pdf",12,4,1,2001,"LaS",15,1.42857142857143,0.285714285714286,105,10,2
"2001-15-LSP-takaku-et-al-2001-a-cross-cultural-examination-of-the-effects-of-apology-and-perspective-taking-on-forgiveness.pdf",20,3,0,2001,"LSP",13.3076923076923,1.61538461538462,0.384615384615385,173,21,5
"2001-18-LSP-winn-rubin-2001-enacting-gender-identity-in-written-discourse-responding-to-gender-role-bidding-in-personal-ads.pdf",15,4,0,2001,"LSP",13.3076923076923,1.61538461538462,0.384615384615385,173,21,5
"2002-01-LLT-06_01_deridder.pdf",29,1,1,2002,"LLT",19.5,1,1,39,2,2
"2002-01-LSP-bonnesen-hummert-2002-painful-self-disclosures-of-older-adults-in-relation-to-aging-stereotypes-and-perceived.pdf",29,4,0,2002,"LSP",10.4615384615385,1.53846153846154,0.230769230769231,136,20,3
"2002-02-LaS-cooper-et-al-2002-constraints-of-lexical-stress-on-lexical-access-in-english-evidence-from-native-and-non-native.pdf",9,7,6,2002,"LaS",30.5,4.5,1.33333333333333,183,27,8
"2002-03-LSP-colley-todd-2002-gender-linked-differences-in-the-style-and-content-of-e-mails-to-friends.pdf",5,0,0,2002,"LSP",10.4615384615385,1.53846153846154,0.230769230769231,136,20,3
"2002-04-LLT-06_01_nikolova.pdf",10,1,1,2002,"LLT",19.5,1,1,39,2,2
"2002-04-LSP-dixon-et-al-2002-accents-of-guilt-effects-of-regional-accent-race-and-crime-type-on-attributions-of-guilt.pdf",4,0,0,2002,"LSP",10.4615384615385,1.53846153846154,0.230769230769231,136,20,3
"2002-06-LaS-ishikawa-2002-syllabification-of-intervocalic-consonants-by-english-and-japanese-speakers.pdf",41,3,2,2002,"LaS",30.5,4.5,1.33333333333333,183,27,8
"2002-07-LSP-hosman-et-al-2002-the-impact-of-power-of-speech-style-argument-strength-and-need-for-cognition-on-impression-formation.pdf",6,5,0,2002,"LSP",10.4615384615385,1.53846153846154,0.230769230769231,136,20,3
"2002-07-LaS-mullennix-et-al-2002-effects-of-variation-in-emotional-tone-of-voice-on-speech-perception.pdf",17,7,0,2002,"LaS",30.5,4.5,1.33333333333333,183,27,8
"2002-08-LSP-kreuz-link-2002-asymmetries-in-the-use-of-verbal-irony.pdf",4,0,0,2002,"LSP",10.4615384615385,1.53846153846154,0.230769230769231,136,20,3
"2002-08-LaS-newman-german-2002-effects-of-lexical-factors-on-lexical-access-among-typical-language-learning-children-and-children.pdf",98,10,0,2002,"LaS",30.5,4.5,1.33333333333333,183,27,8
"2002-09-LSP-lin-et-al-2002-conversation-topics-and-communication-satisfaction-in-grandparent-grandchild-relationships.pdf",2,0,0,2002,"LSP",10.4615384615385,1.53846153846154,0.230769230769231,136,20,3
"2002-10-LaS-smith-2002-prosodic-finality-and-sentence-type-in-french.pdf",6,0,0,2002,"LaS",30.5,4.5,1.33333333333333,183,27,8
"2002-12-LSP-namy-et-al-2002-gender-differences-in-vocal-accommodation-the-role-of-perception.pdf",3,0,0,2002,"LSP",10.4615384615385,1.53846153846154,0.230769230769231,136,20,3
"2002-12-LaS-vitevitch-2002-naturalistic-and-experimental-analyses-of-word-frequency-and-neighborhood-density-effects-in-slips-of.pdf",12,0,0,2002,"LaS",30.5,4.5,1.33333333333333,183,27,8
"2002-13-LSP-niederhoffer-pennebaker-2002-linguistic-style-matching-in-social-interaction.pdf",5,0,0,2002,"LSP",10.4615384615385,1.53846153846154,0.230769230769231,136,20,3
"2002-14-LSP-parton-et-al-2002-employment-interview-outcomes-and-speech-style-effects.pdf",8,6,1,2002,"LSP",10.4615384615385,1.53846153846154,0.230769230769231,136,20,3
"2002-15-LSP-pexman-olineck-2002-understanding-irony-how-do-stereotypes-cue-speaker-intent.pdf",6,0,0,2002,"LSP",10.4615384615385,1.53846153846154,0.230769230769231,136,20,3
"2002-18-LSP-ter-doest-et-al-2002-linguistic-context-and-social-perception-does-stimulus-abstraction-moderate-processing-style.pdf",32,2,1,2002,"LSP",10.4615384615385,1.53846153846154,0.230769230769231,136,20,3
"2002-19-LSP-watson-gallois-2002-patients-interactions-with-health-providers-a-linguistic-category-model-approach.pdf",16,1,1,2002,"LSP",10.4615384615385,1.53846153846154,0.230769230769231,136,20,3
"2002-20-LSP-williams-garrett-2002-communication-evaluations-across-the-life-span-from-adolescent-storm-and-stress-to-elder-aches.pdf",16,2,0,2002,"LSP",10.4615384615385,1.53846153846154,0.230769230769231,136,20,3
"2003-00-LaS-anderson-et-al-2003-a-statistical-basis-for-speech-sound-discrimination.pdf",21,0,0,2003,"LaS",20.3333333333333,1.88888888888889,0.111111111111111,183,17,1
"2003-01-LSP-clement-et-al-2003-willingness-to-communicate-in-a-second-language-the-effects-of-context-norms-and-vitality.pdf",5,0,0,2003,"LSP",11.4166666666667,1.66666666666667,0.25,137,20,3
"2003-01-LaS-arciuli-cupples-2003-effects-of-stress-typicality-during-speeded-grammatical-classification.pdf",10,0,0,2003,"LaS",20.3333333333333,1.88888888888889,0.111111111111111,183,17,1
"2003-02-LSP-de-montes-et-al-2003-communication-patterns-in-interdependent-relationships.pdf",30,3,0,2003,"LSP",11.4166666666667,1.66666666666667,0.25,137,20,3
"2003-02-LaS-best-mcroberts-2003-infant-perception-of-non-native-consonant-contrasts-that-adults-assimilate-in-different-ways.pdf",29,3,0,2003,"LaS",20.3333333333333,1.88888888888889,0.111111111111111,183,17,1
"2003-03-LaS-bosch-sebastian-galles-2003-simultaneous-bilingualism-and-the-perception-of-a-language-specific-vowel-contrast-in-the.pdf",17,7,0,2003,"LaS",20.3333333333333,1.88888888888889,0.111111111111111,183,17,1
"2003-04-LaS-fennell-werker-2003-early-word-learners-ability-to-access-phonetic-detail-in-well-known-words.pdf",2,0,0,2003,"LaS",20.3333333333333,1.88888888888889,0.111111111111111,183,17,1
"2003-06-LSP-garcia-bargh-2003-automatic-evaluation-of-novel-words-the-role-of-superficial-phonetics.pdf",27,9,0,2003,"LSP",11.4166666666667,1.66666666666667,0.25,137,20,3
"2003-06-LaS-guion-et-al-2003-factors-affecting-stress-placement-for-english-nonwords-include-syllabic-structure-lexical-class-and.pdf",7,0,0,2003,"LaS",20.3333333333333,1.88888888888889,0.111111111111111,183,17,1
"2003-07-LSP-gnisci-bonaiuto-2003-grilling-politicians-politicians-answers-to-questions-in-television-interviews-and-courtroom.pdf",8,0,0,2003,"LSP",11.4166666666667,1.66666666666667,0.25,137,20,3
"2003-07-LaS-kingston-2003-learning-foreign-vowels.pdf",79,2,0,2003,"LaS",20.3333333333333,1.88888888888889,0.111111111111111,183,17,1
"2003-08-LSP-green-2003-the-writing-on-the-stall-gender-and-graffiti.pdf",1,0,0,2003,"LSP",11.4166666666667,1.66666666666667,0.25,137,20,3
"2003-09-LSP-kinney-2003-themes-and-perceptions-of-written-sexually-harassing-messages-and-their-link-to-distress.pdf",15,0,0,2003,"LSP",11.4166666666667,1.66666666666667,0.25,137,20,3
"2003-10-LSP-laplante-ambady-2003-on-how-things-are-said-voice-tone-voice-intensity-verbal-content-and-perceptions-of-politeness.pdf",7,1,0,2003,"LSP",11.4166666666667,1.66666666666667,0.25,137,20,3
"2003-11-LSP-leets-2003-disentangling-perceptions-of-subtle-racist-speech-a-cultural-perspective.pdf",11,2,0,2003,"LSP",11.4166666666667,1.66666666666667,0.25,137,20,3
"2003-11-LaS-srinivasan-massaro-2003-perceiving-prosody-from-the-face-and-voice-distinguishing-statements-from-echoic-questions-in.pdf",6,1,0,2003,"LaS",20.3333333333333,1.88888888888889,0.111111111111111,183,17,1
"2003-12-LaS-swingley-2003-phonetic-detail-in-the-developing-lexicon.pdf",12,4,1,2003,"LaS",20.3333333333333,1.88888888888889,0.111111111111111,183,17,1
"2003-14-LSP-mischo-2003-cognitive-emotional-and-verbal-responses-in-unfair-everyday-discourse.pdf",3,0,0,2003,"LSP",11.4166666666667,1.66666666666667,0.25,137,20,3
"2003-16-LSP-reid-et-al-2003-language-gender-salience-and-social-influence.pdf",21,4,3,2003,"LSP",11.4166666666667,1.66666666666667,0.25,137,20,3
"2003-17-LSP-robertson-murachver-2003-children-s-speech-accommodation-to-gendered-language-styles.pdf",8,1,0,2003,"LSP",11.4166666666667,1.66666666666667,0.25,137,20,3
"2003-19-LSP-sunwolf-leets-2003-communication-paralysis-during-peer-group-exclusion-social-dynamics-that-prevent-children-and.pdf",1,0,0,2003,"LSP",11.4166666666667,1.66666666666667,0.25,137,20,3
"2004-00-LaS-alcock-ngorosho-2004-interaction-between-phonological-and-grammatical-processing-in-single-word-production-in-kiswahili.pdf",26,10,2,2004,"LaS",13.5,2.3,1.2,135,23,12
"2004-01-LLT-08_01_hardison.pdf",3,1,0,2004,"LLT",2,1,0.5,4,2,1
"2004-01-LSP-baron-2004-see-you-online-gender-issues-in-college-student-use-of-instant-messaging.pdf",2,0,0,2004,"LSP",17.4545454545455,1.54545454545455,0.272727272727273,192,17,3
"2004-02-LSP-beaumont-wagner-2004-adolescent-parent-verbal-conflict-the-roles-of-conversational-styles-and-disgust-emotions.pdf",13,0,0,2004,"LSP",17.4545454545455,1.54545454545455,0.272727272727273,192,17,3
"2004-02-LaS-chen-et-al-2004-language-specificity-in-the-perception-of-paralinguistic-intonational-meaning.pdf",28,2,1,2004,"LaS",13.5,2.3,1.2,135,23,12
"2004-03-LaS-clopper-pisoni-2004-effects-of-talker-variability-on-perceptual-learning-of-dialects.pdf",14,0,0,2004,"LaS",13.5,2.3,1.2,135,23,12
"2004-04-LLT-08_02_chen.pdf",1,1,1,2004,"LLT",2,1,0.5,4,2,1
"2004-04-LSP-berger-2004-speechlessness-causal-attributions-emotional-features-and-social-consequences.pdf",38,9,0,2004,"LSP",17.4545454545455,1.54545454545455,0.272727272727273,192,17,3
"2004-05-LaS-fon-johnson-2004-syllable-onset-intervals-as-an-indicator-of-discourse-and-syntactic-boundaries-in-taiwan-mandarin.pdf",12,0,0,2004,"LaS",13.5,2.3,1.2,135,23,12
"2004-07-LSP-colley-et-al-2004-style-and-content-in-e-mails-and-letters-to-male-and-female-friends.pdf",15,1,0,2004,"LSP",17.4545454545455,1.54545454545455,0.272727272727273,192,17,3
"2004-08-LaS-liu-samuel-2004-perception-of-mandarin-lexical-tones-when-f0-information-is-neutralized.pdf",5,0,0,2004,"LaS",13.5,2.3,1.2,135,23,12
"2004-09-LSP-gergle-et-al-2004-language-efficiency-and-visual-technology-minimizing-collaborative-effort-with-visual-information.pdf",31,4,0,2004,"LSP",17.4545454545455,1.54545454545455,0.272727272727273,192,17,3
"2004-09-LaS-pan-2004-nasality-in-taiwanese.pdf",10,1,0,2004,"LaS",13.5,2.3,1.2,135,23,12
"2004-10-LaS-rogers-et-al-2004-effects-of-noise-and-proficiency-on-intelligibility-of-chinese-accented-english.pdf",6,0,0,2004,"LaS",13.5,2.3,1.2,135,23,12
"2004-12-LaS-verhoeven-et-al-2004-speech-rate-in-a-pluricentric-language-a-comparison-between-dutch-in-belgium-and-the-netherlands.pdf",10,9,9,2004,"LaS",13.5,2.3,1.2,135,23,12
"2004-13-LaS-whalen-et-al-2004-vowel-production-and-perception-hyperarticulation-without-a-hyperspace-effect.pdf",23,0,0,2004,"LaS",13.5,2.3,1.2,135,23,12
"2004-14-LSP-hancock-2004-verbal-irony-use-in-face-to-face-and-computer-mediated-conversations.pdf",11,0,0,2004,"LSP",17.4545454545455,1.54545454545455,0.272727272727273,192,17,3
"2004-14-LaS-wurm-et-al-2004-recognition-of-spoken-words-semantic-effects-in-lexical-access.pdf",1,1,0,2004,"LaS",13.5,2.3,1.2,135,23,12
"2004-17-LSP-ivanko-et-al-2004-how-sarcastic-are-you-individual-differences-and-verbal-irony.pdf",3,0,0,2004,"LSP",17.4545454545455,1.54545454545455,0.272727272727273,192,17,3
"2004-18-LSP-janssen-murachver-2004-the-role-of-gender-in-new-zealand-literature-comparisons-across-periods-and-styles-of-writing.pdf",49,0,0,2004,"LSP",17.4545454545455,1.54545454545455,0.272727272727273,192,17,3
"2004-19-LSP-kellermann-palomares-2004-topical-profiling-emergent-co-occurring-and-relationally-defining-topics-in-talk.pdf",2,0,0,2004,"LSP",17.4545454545455,1.54545454545455,0.272727272727273,192,17,3
"2004-20-LSP-lawson-sachdev-2004-identity-language-use-and-attitudes-some-sylheti-bangladeshi-data-from-london-uk.pdf",1,0,0,2004,"LSP",17.4545454545455,1.54545454545455,0.272727272727273,192,17,3
"2004-22-LSP-o-sullivan-et-al-2004-mediated-immediacy-a-language-of-affiliation-in-a-technological-age.pdf",27,3,3,2004,"LSP",17.4545454545455,1.54545454545455,0.272727272727273,192,17,3
"2005-00-LSP-aune-et-al-2005-tests-of-a-theory-of-communicative-responsibility.pdf",14,0,0,2005,"LSP",10.5,0.666666666666667,0.166666666666667,126,8,2
"2005-00-LaS-baker-trofimovich-2005-interaction-of-native-and-second-language-vowel-system(s)-in-early-and-late-bilinguals.pdf",12,3,0,2005,"LaS",14.8333333333333,0.916666666666667,0,178,11,0
"2005-01-LLT-09_01_morris.pdf",2,2,0,2005,"LLT",1.5,1.5,0.5,3,3,1
"2005-01-LSP-bello-edwards-2005-interpretations-of-messages-the-influence-of-various-forms-of-equivocation-face-concerns-and-sex.pdf",14,2,1,2005,"LSP",10.5,0.666666666666667,0.166666666666667,126,8,2
"2005-02-LSP-blankenship-holtgraves-2005-the-role-of-different-markers-of-linguistic-powerlessness-in-persuasion.pdf",29,2,0,2005,"LSP",10.5,0.666666666666667,0.166666666666667,126,8,2
"2005-03-LSP-boals-klein-2005-word-use-in-emotional-narratives-about-failed-romantic-relationships-and-subsequent-mental-health.pdf",1,0,0,2005,"LSP",10.5,0.666666666666667,0.166666666666667,126,8,2
"2005-03-LaS-elordieta-calleja-2005-microvariation-in-accentual-alignment-in-basque-spanish.pdf",19,1,0,2005,"LaS",14.8333333333333,0.916666666666667,0,178,11,0
"2005-04-LSP-boltz-2005-temporal-dimensions-of-conversational-interaction-the-role-of-response-latencies-and-pauses-in-social.pdf",7,0,0,2005,"LSP",10.5,0.666666666666667,0.166666666666667,126,8,2
"2005-04-LaS-fais-et-al-2005-japanese-listeners-perceptions-of-phonotactic-violations.pdf",4,2,0,2005,"LaS",14.8333333333333,0.916666666666667,0,178,11,0
"2005-06-LSP-clopper-et-al-2005-effects-of-talker-gender-on-dialect-categorization.pdf",11,0,0,2005,"LSP",10.5,0.666666666666667,0.166666666666667,126,8,2
"2005-06-LaS-krahmer-swerts-2005-how-children-and-adults-produce-and-perceive-uncertainty-in-audiovisual-speech.pdf",5,0,0,2005,"LaS",14.8333333333333,0.916666666666667,0,178,11,0
"2005-07-LSP-cralley-ruscher-2005-lady-girl-female-or-woman-sexism-and-cognitive-busyness-predict-use-of-gender-biased-nouns.pdf",4,1,0,2005,"LSP",10.5,0.666666666666667,0.166666666666667,126,8,2
"2005-07-LaS-lickley-et-al-2005-alignment-of-phrase-accent-lows-in-dutch-falling-rising-questions-theoretical-and-methodological.pdf",6,0,0,2005,"LaS",14.8333333333333,0.916666666666667,0,178,11,0
"2005-08-LaS-lickley-et-al-2005-judgment-of-disfluency-in-people-who-stutter-and-people-who-do-not-stutter-results-from-magnitude.pdf",1,0,0,2005,"LaS",14.8333333333333,0.916666666666667,0,178,11,0
"2005-09-LSP-forgas-tehani-2005-affective-influences-on-language-use-mood-effects-on-performance-feedback-by-experts-and-novices.pdf",4,1,1,2005,"LSP",10.5,0.666666666666667,0.166666666666667,126,8,2
"2005-09-LaS-mattys-melhorn-2005-how-do-syllables-contribute-to-the-perception-of-spoken-english-insight-from-the-migration-paradigm.pdf",4,0,0,2005,"LaS",14.8333333333333,0.916666666666667,0,178,11,0
"2005-10-LaS-nazzi-et-al-2005-english-learning-infants-segmentation-of-verbs-from-fluent-speech.pdf",21,2,0,2005,"LaS",14.8333333333333,0.916666666666667,0,178,11,0
"2005-11-LaS-newman-german-2005-life-span-effects-of-lexical-factors-on-oral-naming.pdf",70,2,0,2005,"LaS",14.8333333333333,0.916666666666667,0,178,11,0
"2005-12-LSP-igou-bless-2005-the-conversational-basis-for-the-dilution-effect.pdf",7,0,0,2005,"LSP",10.5,0.666666666666667,0.166666666666667,126,8,2
"2005-13-LSP-janssen-murachver-2005-readers-perceptions-of-author-gender-and-literary-genre.pdf",12,0,0,2005,"LSP",10.5,0.666666666666667,0.166666666666667,126,8,2
"2005-13-LaS-stockmal-et-al-2005-measures-of-native-and-non-native-rhythm-in-a-quantity-language.pdf",2,1,0,2005,"LaS",14.8333333333333,0.916666666666667,0,178,11,0
"2005-14-LLT-09_03_volle.pdf",1,1,1,2005,"LLT",1.5,1.5,0.5,3,3,1
"2005-14-LaS-tokimoto-2005-disambiguation-of-homonyms-in-real-time-japanese-sentence-processing-case-markings-and-thematic-constraint.pdf",7,0,0,2005,"LaS",14.8333333333333,0.916666666666667,0,178,11,0
"2005-16-LSP-parks-roberton-2005-explaining-age-and-gender-effects-on-attitudes-toward-sexist-language.pdf",2,1,0,2005,"LSP",10.5,0.666666666666667,0.166666666666667,126,8,2
"2005-17-LaS-ylinen-et-al-2005-the-perception-of-phonological-quantity-based-on-durational-cues-by-native-speakers-second-language.pdf",27,0,0,2005,"LaS",14.8333333333333,0.916666666666667,0,178,11,0
"2005-18-LSP-walther-et-al-2005-let-me-count-the-ways-the-interchange-of-verbal-and-nonverbal-cues-in-computer-mediated-and-face-to.pdf",21,1,0,2005,"LSP",10.5,0.666666666666667,0.166666666666667,126,8,2
"2006-00-LLT-10_01_arnoldducate.pdf",2,2,0,2006,"LLT",3.66666666666667,1,0,11,3,0
"2006-00-LSP-anglin-whaley-2006-racial-ethnic-self-labeling-in-relation-to-group-socialization-and-identity-in-african-descended.pdf",4,0,0,2006,"LSP",15.4545454545455,1.09090909090909,0,170,12,0
"2006-00-LaS-arvaniti-et-al-2006-tonal-association-and-tonal-alignment-evidence-from-greek-polar-questions-and-contrastive-statements.pdf",15,3,0,2006,"LaS",19.375,1.5,0,155,12,0
"2006-02-LLT-10_01_fitze.pdf",6,0,0,2006,"LLT",3.66666666666667,1,0,11,3,0
"2006-02-LSP-blankenship-craig-2006-rhetorical-question-use-and-resistance-to-persuasion-an-attitude-strength-analysis.pdf",25,3,0,2006,"LSP",15.4545454545455,1.09090909090909,0,170,12,0
"2006-02-LaS-brancazio-et-al-2006-visual-influences-on-perception-of-speech-and-nonspeech-vocal-tract-events.pdf",20,0,0,2006,"LaS",19.375,1.5,0,155,12,0
"2006-04-LSP-burgoon-qin-2006-the-dynamic-nature-of-deceptive-verbal-communication.pdf",11,0,0,2006,"LSP",15.4545454545455,1.09090909090909,0,170,12,0
"2006-06-LSP-cargile-et-al-2006-theories-of-intergroup-conflict-a-report-of-lay-attributions.pdf",3,0,0,2006,"LSP",15.4545454545455,1.09090909090909,0,170,12,0
"2006-06-LaS-hollich-2006-combining-techniques-to-reveal-emergent-effects-in-infants-segmentation-word-learning-and-grammar.pdf",5,2,0,2006,"LaS",19.375,1.5,0,155,12,0
"2006-07-LaS-keane-2006-rhythmic-characteristics-of-colloquial-and-formal-tamil.pdf",8,0,0,2006,"LaS",19.375,1.5,0,155,12,0
"2006-08-LLT-10_03_laizhao.pdf",3,1,0,2006,"LLT",3.66666666666667,1,0,11,3,0
"2006-08-LSP-gowen-britt-2006-the-interactive-effects-of-homosexual-speech-and-sexual-orientation-on-the-stigmatization-of-men.pdf",13,0,0,2006,"LSP",15.4545454545455,1.09090909090909,0,170,12,0
"2006-08-LaS-kondo-2006-within-word-prosodic-constraint-on-coarticulation-in-japanese.pdf",47,3,0,2006,"LaS",19.375,1.5,0,155,12,0
"2006-09-LaS-larson-hall-2006-what-does-more-time-buy-you-anotherlook-at-the-effects-of-long-term-residence-on-production-accuracy.pdf",5,0,0,2006,"LaS",19.375,1.5,0,155,12,0
"2006-11-LSP-hosman-siltanen-2006-powerful-and-powerless-language-forms-their-consequences-for-impression-formation-attributions-of.pdf",13,2,0,2006,"LSP",15.4545454545455,1.09090909090909,0,170,12,0
"2006-15-LSP-robertson-murachver-2006-intimate-partner-violence-linguistic-features-and-accommodation-behavior-of-perpetrators-and.pdf",46,6,0,2006,"LSP",15.4545454545455,1.09090909090909,0,170,12,0
