"source","test_type","df1","df2","test_comp","test_value","p_comp","reported_p","computed_p","raw","error","decision_error","one_tailed_in_txt","apa_factor"
"2011-13-LAB-lab.1.2.02lee.pdf","F",1,82,"=",2.27,"=",0.1355,0.135742766203777,"F(1,82) = 2.27, p = 0.1355",FALSE,FALSE,FALSE,0.61
"2011-13-LAB-lab.1.2.02lee.pdf","F",1,106,"=",21.37,"<",1e-04,1.07266153589474e-05,"F(1,106) = 21.37, p < 0.0001",FALSE,FALSE,FALSE,0.61
"2011-14-LAB-lab.1.2.03str.pdf","F",1,42,"=",1.202,"=",0.279,0.27916901845956,"F(1,42) = 1.202, p = .279",FALSE,FALSE,TRUE,0.25
"2011-14-LAB-lab.1.2.03str.pdf","F",3,42,"=",14.197,"<",1e-04,1.57056848032169e-06,"F(3,42) = 14.197,p < .0001",FALSE,FALSE,TRUE,0.25
"2011-14-LAB-lab.1.2.03str.pdf","F",3,42,"=",3.363,"=",0.027,0.0274040296759764,"F(3,42) = 3.363,p = .027",FALSE,FALSE,TRUE,0.25
"2011-16-LAB-lab.1.3.01par.pdf","F",9,158,"=",15.082,"=",0,1.55821345472436e-17,"F(9,158) = 15.082, p = .000",TRUE,FALSE,TRUE,0.37
"2011-16-LAB-lab.1.3.01par.pdf","F",10,157,"=",18.389,"=",0,5.8625849140141e-22,"F(10,157)= 18.389, p = .000",TRUE,FALSE,TRUE,0.37
"2011-16-LAB-lab.1.3.01par.pdf","F",5,162,"=",24.235,"=",0,3.63868418068358e-18,"F(5,162) = 24.235, p = .000",TRUE,FALSE,TRUE,0.37
"2011-16-LAB-lab.1.3.01par.pdf","F",10,157,"=",18.389,"=",0,5.8625849140141e-22,"F(10,157) = 18.389, p = .000",TRUE,FALSE,TRUE,0.37
"2011-16-LAB-lab.1.3.01par.pdf","F",6,161,"=",29.239,"=",0,1.60262031146247e-23,"F(6,161) = 29.239, p = .000",TRUE,FALSE,TRUE,0.37
"2011-16-LAB-lab.1.3.01par.pdf","t",NA,167,"=",-1.903,"=",0.059,0.0587611118833773,"t(167) = -1.903, p = .059",FALSE,FALSE,TRUE,0.37
"2011-16-LAB-lab.1.3.01par.pdf","t",NA,167,"=",-2.344,"=",0.02,0.0202551289974083,"t(167) = -2.344,p = .020",FALSE,FALSE,TRUE,0.37
"2011-17-LAB-lab.1.3.02hop.pdf","F",1,59,"=",0.328,"=",0.569,0.569015353188309,"F(1,59) = 0.328, p = 0.569",FALSE,FALSE,FALSE,0.02
"2011-18-LAB-lab.1.3.03blo.pdf","t",NA,37,"=",1.079,"=",0.287,0.28757174704287,"t(37) = 1.079, p = 0.287",FALSE,FALSE,FALSE,0.26
"2011-18-LAB-lab.1.3.03blo.pdf","t",NA,37,"=",1.444,"=",0.156,0.157153907281202,"t(37)=1.444, p = 0.156",TRUE,FALSE,FALSE,0.26
"2011-18-LAB-lab.1.3.03blo.pdf","t",NA,91,"=",-3.316,"=",0.001,0.00131291680577145,"t(91) = -3.316, p = 0.001",FALSE,FALSE,FALSE,0.26
"2011-18-LAB-lab.1.3.03blo.pdf","t",NA,38,"=",6.98,"<",0.001,2.61740856377236e-08,"t(38) = 6.98, p < 0.001",FALSE,FALSE,FALSE,0.26
"2011-18-LAB-lab.1.3.03blo.pdf","t",NA,36,"=",7.28,"<",0.001,1.41396311830075e-08,"t(36) = 7.28, p< 0.001",FALSE,FALSE,FALSE,0.26
"2011-18-LAB-lab.1.3.03blo.pdf","t",NA,37,"=",-0.11,"=",0.91,0.913003853462619,"t(37) = -0.11, p = 0.91",FALSE,FALSE,FALSE,0.26
"2011-19-LAB-lab.1.3.04arm.pdf","F",1,76,"=",3.903,"=",0.052,0.0518304901810414,"F(1,76)=3.903,p=0.052",FALSE,FALSE,FALSE,0.58
"2011-19-LAB-lab.1.3.04arm.pdf","F",2,69,"=",8.32,"=",0.001,0.000579360534263595,"F(2,69)=8.32, p=0.001",FALSE,FALSE,FALSE,0.58
"2011-19-LAB-lab.1.3.04arm.pdf","F",2,69,"=",4.16,"=",0.02,0.0196890592382535,"F (2,69)=4.16, p=0.02",FALSE,FALSE,FALSE,0.58
"2011-19-LAB-lab.1.3.04arm.pdf","F",2,69,"=",9.82,"<",0.001,0.000176631169990005,"F (2,69)=9.82, p<0.001",FALSE,FALSE,FALSE,0.58
"2011-19-LAB-lab.1.3.04arm.pdf","F",2,73,"=",3.16,"=",0.03,0.0482853787585041,"F(2,73)=3.16,p=0.03",TRUE,FALSE,FALSE,0.58
"2011-19-LAB-lab.1.3.04arm.pdf","F",2,73,"=",3.57,"=",0.018,0.0331729087334302,"F(2,73)=3.57, p=0.018",TRUE,FALSE,FALSE,0.58
"2011-19-LAB-lab.1.3.04arm.pdf","F",2,73,"=",5.14,"=",0.003,0.00815733394939866,"F(2,73)=5.14, p=0.003",TRUE,FALSE,FALSE,0.58
"2011-19-LAB-lab.1.3.04arm.pdf","F",2,70,"=",7.16,"<",0.001,0.00148204187610067,"F(2,70)=7.16, p<0.001",TRUE,FALSE,FALSE,0.58
"2011-19-LAB-lab.1.3.04arm.pdf","F",2,70,"=",9.73,"<",0.001,0.000186818601299321,"F(2,70)=9.73, p<0.001",FALSE,FALSE,FALSE,0.58
"2011-19-LAB-lab.1.3.04arm.pdf","F",2,72,"=",3.56,"=",0.019,0.033547784324544,"F(2,72)=3.56,p=0.019",TRUE,FALSE,FALSE,0.58
"2011-19-LAB-lab.1.3.04arm.pdf","F",2,72,"=",4.45,"=",0.006,0.0150599348636578,"F(2,72)=4.45, p=0.006",TRUE,FALSE,FALSE,0.58
"2011-19-LAB-lab.1.3.04arm.pdf","F",2,72,"=",5.36,"=",0.002,0.00676068878540123,"F(2,72)=5.36, p=0.002",TRUE,FALSE,FALSE,0.58
"2011-19-LAB-lab.1.3.04arm.pdf","r",NA,61,"=",0.35,"=",0.006,0.00492433279701802,"r(61)=0.35, p=0.006",FALSE,FALSE,FALSE,0.58
"2011-19-LAB-lab.1.3.04arm.pdf","r",NA,61,"=",0.29,"=",0.023,0.0211388030280602,"r(61)=0.29, p=0.023",FALSE,FALSE,FALSE,0.58
"2011-19-LAB-lab.1.3.04arm.pdf","r",NA,61,"=",0.32,"=",0.013,0.0105678954134931,"r(61)=0.32,p=0.013",TRUE,FALSE,FALSE,0.58
"2011-19-LAB-lab.1.3.04arm.pdf","r",NA,61,"=",0.36,"=",0.005,0.00375502965364519,"r(61)=0.36, p=0.005",TRUE,FALSE,FALSE,0.58
"2011-19-LAB-lab.1.3.04arm.pdf","F",2,58,"=",4.04,"=",0.023,0.0227709326232796,"F(2,58)=4.04, p=0.023",FALSE,FALSE,FALSE,0.58
"2011-19-LAB-lab.1.3.04arm.pdf","F",2,58,"=",4.25,"=",0.019,0.0189489041741711,"F(2,58)=4.25,p=0.019",FALSE,FALSE,FALSE,0.58
"2011-19-LAB-lab.1.3.04arm.pdf","F",2,58,"=",6.02,"=",0.004,0.00421088933863379,"F(2,58)=6.02, p=0.004",FALSE,FALSE,FALSE,0.58
"2011-19-LAB-lab.1.3.04arm.pdf","F",1,59,"=",6.54,"=",0.013,0.0131382973120256,"F(1,59)=6.54, p=0.013",FALSE,FALSE,FALSE,0.58
"2011-19-LAB-lab.1.3.04arm.pdf","F",1,59,"=",4.76,"=",0.033,0.0331241855334037,"F(1,59)=4.76, p=0.033",FALSE,FALSE,FALSE,0.58
"2011-19-LAB-lab.1.3.04arm.pdf","F",1,59,"=",14.01,"<",0.001,0.000414361098472625,"F(1,59)=14.01 ,p<0.001",FALSE,FALSE,FALSE,0.58
"2011-19-LAB-lab.1.3.04arm.pdf","F",1,59,"=",11.02,"=",0.002,0.00154905797980987,"F(1,59)=11.02, p=0.002",FALSE,FALSE,FALSE,0.58
"2011-19-LAB-lab.1.3.04arm.pdf","F",1,59,"=",16.76,"<",0.001,0.0001308107769116,"F(1,59)=16.76, p<0.001",FALSE,FALSE,FALSE,0.58
"2011-19-LAB-lab.1.3.04arm.pdf","F",1,59,"=",9.96,"=",0.001,0.00251903795094802,"F(1,59)=9.96, p=0.001",TRUE,FALSE,FALSE,0.58
"2011-19-LAB-lab.1.3.04arm.pdf","F",1,59,"=",4.62,"<",0.05,0.0357133727115324,"F(1,59)=4.62,p<0.05",FALSE,FALSE,FALSE,0.58
"2011-19-LAB-lab.1.3.04arm.pdf","F",2,58,"=",4.89,"=",0.01,0.0109010025889205,"F(2,58)=4.89,p=0.01",FALSE,FALSE,FALSE,0.58
"2011-19-LAB-lab.1.3.04arm.pdf","F",2,53,"=",8.47,"=",0.001,0.000642808192472998,"F(2,53)=8.47,p=0.001",FALSE,FALSE,FALSE,0.58
"2011-19-LAB-lab.1.3.04arm.pdf","F",2,55,"=",26.6,"<",0.001,8.29324107296809e-09,"F(2,55)=26.6, p<0.001",FALSE,FALSE,FALSE,0.58
"2011-19-LAB-lab.1.3.04arm.pdf","F",2,58,"=",6.03,"=",0.004,0.00417616795765876,"F(2,58)=6.03, p=0.004",FALSE,FALSE,FALSE,0.58
"2011-19-LAB-lab.1.3.04arm.pdf","F",2,58,"=",17.32,"<",0.001,1.26547616059828e-06,"F (2,58)=17.32, p<0.001",FALSE,FALSE,FALSE,0.58
"2011-19-LAB-lab.1.3.04arm.pdf","F",2,55,"=",4.48,"=",0.012,0.0157576498767832,"F(2,55)=4.48, p=0.012",TRUE,FALSE,FALSE,0.58
"2011-19-LAB-lab.1.3.04arm.pdf","F",2,53,"=",6.07,"=",0.004,0.0042300456803587,"F(2,53)=6.07, p=0.004",FALSE,FALSE,FALSE,0.58
"2011-19-LAB-lab.1.3.04arm.pdf","F",2,58,"=",8.07,"=",0.001,0.000808885302284254,"F(2,58)=8.07, p=0.001",FALSE,FALSE,FALSE,0.58
"2011-19-LAB-lab.1.3.04arm.pdf","F",2,47,"=",3.38,"<",0.02,0.0425115608150922,"F(2,47)=3.38, p<0.02",TRUE,FALSE,FALSE,0.58
"2011-19-LAB-lab.1.3.04arm.pdf","F",2,47,"=",3.22,"=",0.031,0.0489145541120645,"F(2,47)=3.22, p=0.031",TRUE,FALSE,FALSE,0.58
"2011-19-LAB-lab.1.3.04arm.pdf","F",2,39,"=",7.84,"=",0.001,0.00137437096621014,"F(2,39)=7.84, p=0.001",FALSE,FALSE,FALSE,0.58
"2011-19-LAB-lab.1.3.04arm.pdf","F",2,39,"=",4.19,"=",0.023,0.0224727508798365,"F(2,39)=4.19, p=0.023",FALSE,FALSE,FALSE,0.58
"2011-19-LAB-lab.1.3.04arm.pdf","F",2,39,"=",4.125,"=",0.024,0.0237096141610097,"F(2,39)=4.125, p=0.024",FALSE,FALSE,FALSE,0.58
"2011-19-LAB-lab.1.3.04arm.pdf","F",2,50,"=",6.33,"=",0.004,0.00354397251228198,"F(2,50)=6.33, p=0.004",FALSE,FALSE,FALSE,0.58
"2011-19-LAB-lab.1.3.04arm.pdf","F",2,50,"=",6.02,"=",0.005,0.00454417847164253,"F(2,50)=6.02, p=0.005",FALSE,FALSE,FALSE,0.58
"2011-19-LAB-lab.1.3.04arm.pdf","F",2,50,"=",4.88,"=",0.012,0.0115873836989292,"F(2,50)=4.88, p=0.012",FALSE,FALSE,FALSE,0.58
"2011-19-LAB-lab.1.3.04arm.pdf","F",2,50,"=",5.04,"=",0.01,0.0101391607482082,"F(2,50)=5.04, p=0.01",FALSE,FALSE,FALSE,0.58
"2011-19-LAB-lab.1.3.04arm.pdf","F",2,57,"=",5.16,"=",0.009,0.00871618277199282,"F(2,57)=5.16, p=0.009",FALSE,FALSE,FALSE,0.58
"2011-19-LAB-lab.1.3.04arm.pdf","F",2,57,"=",4.52,"=",0.007,0.0150637134542936,"F(2,57)=4.52,p=0.007",TRUE,FALSE,FALSE,0.58
"2011-19-LAB-lab.1.3.04arm.pdf","F",4,53,"=",4.29,"=",0.007,0.00442510578599466,"F(4,53)=4.29, p=0.007",TRUE,FALSE,FALSE,0.58
"2011-20-LAB-lab.1.3.05cho.pdf","F",1,73,"=",1.108,">",0.2,0.295988945371701,"F(1,73)=1.108,p>.2",FALSE,FALSE,FALSE,0.38
"2011-20-LAB-lab.1.3.05cho.pdf","F",1,73,"=",9.263,"<",0.01,0.00324951084337706,"F(1,73)=9.263,p<.01",FALSE,FALSE,FALSE,0.38
"2011-20-LAB-lab.1.3.05cho.pdf","F",1,73,"=",15.702,"<",0.001,0.000170911284727019,"F(1,73)=15.702,p<.001",FALSE,FALSE,FALSE,0.38
"2011-20-LAB-lab.1.3.05cho.pdf","F",1,73,"=",10.082,"<",0.01,0.00219348097231386,"F(1,73)=10.082,p<.01",FALSE,FALSE,FALSE,0.38
"2011-20-LAB-lab.1.3.05cho.pdf","F",1,73,"=",132.049,"<",0.001,4.89425615242831e-18,"F(1,73)=132.049,p< .001",FALSE,FALSE,FALSE,0.38
"2011-20-LAB-lab.1.3.05cho.pdf","F",1,42,"=",23.956,"<",0.001,1.49843724045342e-05,"F(1,42)=23.956,p<.001",FALSE,FALSE,FALSE,0.38
"2011-20-LAB-lab.1.3.05cho.pdf","F",1,73,"=",32.994,"<",0.001,1.98943493890267e-07,"F(1,73)=32.994,p<.001",FALSE,FALSE,FALSE,0.38
"2011-20-LAB-lab.1.3.05cho.pdf","F",1,73,"=",47.177,"<",0.001,1.82427908967639e-09,"F(1,73)=47.177,p<.001",FALSE,FALSE,FALSE,0.38
"2011-20-LAB-lab.1.3.05cho.pdf","F",1,73,"=",11.993,"<",0.001,0.000896896984857507,"F(1,73)=11.993,p<.001",FALSE,FALSE,FALSE,0.38
"2011-20-LAB-lab.1.3.05cho.pdf","F",1,73,"=",7.505,"<",0.01,0.00772817409377921,"F(1,73)=7.505,p<.01",FALSE,FALSE,FALSE,0.38
"2011-20-LAB-lab.1.3.05cho.pdf","F",1,73,"=",55.762,"<",0.001,1.40367087827763e-10,"F(1,73)=55.762,p<.001",FALSE,FALSE,FALSE,0.38
"2011-22-LAB-lab.1.4.02sch.pdf","r",NA,55,"=",0.499,"<",1e-04,7.78337392381745e-05,"r(55) = .499, p < .0001",FALSE,FALSE,FALSE,0.04
"2011-22-LAB-lab.1.4.02sch.pdf","r",NA,55,"=",0.484,"<",1e-04,0.000136486557284302,"r(55) = .484, p < .0001",TRUE,FALSE,FALSE,0.04
"2012-01-LAB-lab.2.1.02mcc.pdf","t",NA,28,"=",-0.46,"=",0.649,0.649068407945584,"t(28) = -.460, p = .649",FALSE,FALSE,TRUE,0.33
"2012-01-LAB-lab.2.1.02mcc.pdf","t",NA,29,"=",0.281,"=",0.541,0.780705572477142,"t(29) = .281,p = .541",TRUE,FALSE,TRUE,0.33
"2012-01-LAB-lab.2.1.02mcc.pdf","t",NA,18,"=",0.12,"=",0.878,0.905812407537621,"t(18) = .120, p = .878",TRUE,FALSE,TRUE,0.33
"2012-01-LAB-lab.2.1.02mcc.pdf","t",NA,20.857,"=",-3.544,"=",0.002,0.00193746925362524,"t(20.857) = -3.544, p = .002",FALSE,FALSE,TRUE,0.33
"2012-01-LAB-lab.2.1.02mcc.pdf","t",NA,21.529,"=",2.933,"=",0.008,0.007812285739564,"t(21.529) = 2.933,p = .008",FALSE,FALSE,TRUE,0.33
"2012-18-LAB-lab.2.4.02kei.pdf","F",1,68,"=",31.43,"<",0.001,4.08643707364849e-07,"F(1,68)=31.430, p < .001",FALSE,FALSE,FALSE,0.89
"2012-18-LAB-lab.2.4.02kei.pdf","F",2,68,"=",31.954,"<",0.001,1.64469140284224e-10,"F(2,68)=31.954, p < .001",FALSE,FALSE,FALSE,0.89
"2012-18-LAB-lab.2.4.02kei.pdf","F",1,24,"=",21.183,"=",0,0.000114109276375543,"F(1,24) = 21.183,p = .000",TRUE,FALSE,FALSE,0.89
"2012-18-LAB-lab.2.4.02kei.pdf","F",1,24,"=",5.906,"=",0.023,0.0229365141540336,"F(1,24)=5.906, p = .023",FALSE,FALSE,FALSE,0.89
"2012-18-LAB-lab.2.4.02kei.pdf","F",1,24,"=",1.586,"=",0.22,0.220009286277404,"F(1,24)=1.586, p = .220",FALSE,FALSE,FALSE,0.89
"2012-18-LAB-lab.2.4.02kei.pdf","F",1,24,"=",6.967,"=",0.014,0.0143590071020919,"F(1,24) =6.967, p = .014",FALSE,FALSE,FALSE,0.89
"2012-18-LAB-lab.2.4.02kei.pdf","F",1,24,"=",1.586,"=",0.22,0.220009286277404,"F(1,24)=1.586, p = .220",FALSE,FALSE,FALSE,0.89
"2012-18-LAB-lab.2.4.02kei.pdf","F",1,24,"=",3.039,"=",0.098,0.0940853871674874,"F(1,24) = 3.039, p = .098",TRUE,FALSE,FALSE,0.89
"2012-18-LAB-lab.2.4.02kei.pdf","F",1,24,"=",2.081,"=",0.166,0.162067212150494,"F(1,24) = 2.081,p = .166",TRUE,FALSE,FALSE,0.89
"2012-18-LAB-lab.2.4.02kei.pdf","F",1,68,"=",6.271,"=",0.015,0.0146768050247857,"F(1,68)= 6.271, p = .015",FALSE,FALSE,FALSE,0.89
"2012-18-LAB-lab.2.4.02kei.pdf","F",2,68,"=",5.658,"=",0.005,0.00533378729587956,"F(2,68)=5.658, p = .005",FALSE,FALSE,FALSE,0.89
"2012-18-LAB-lab.2.4.02kei.pdf","F",2,68,"=",12.051,"=",0,3.31249290752991e-05,"F(2,68)=12.051, p = .000",TRUE,FALSE,FALSE,0.89
"2012-18-LAB-lab.2.4.02kei.pdf","F",2,68,"=",1.949,"=",0.15,0.150290490616041,"F(2,68)=1.949,p = .150",FALSE,FALSE,FALSE,0.89
"2012-18-LAB-lab.2.4.02kei.pdf","F",2,68,"=",1.817,"=",0.479,0.170313919732244,"F(2,68) = 1.817, p = .479",TRUE,FALSE,FALSE,0.89
"2012-18-LAB-lab.2.4.02kei.pdf","F",1,24,"=",21.183,"=",0,0.000114109276375543,"F(1,24) = 21.183, p = .000",TRUE,FALSE,FALSE,0.89
"2012-18-LAB-lab.2.4.02kei.pdf","F",1,24,"=",1.586,"=",0.22,0.220009286277404,"F(1,24) = 1.586, p = .220",FALSE,FALSE,FALSE,0.89
"2012-18-LAB-lab.2.4.02kei.pdf","F",1,26,"=",6.967,"=",0.014,0.0138475485261458,"F(1,26) = 6.967, p = .014",FALSE,FALSE,FALSE,0.89
"2012-18-LAB-lab.2.4.02kei.pdf","F",1,18,"=",3.039,"=",0.098,0.098341823978224,"F(1,18) = 3.039, p = .098",FALSE,FALSE,FALSE,0.89
"2012-18-LAB-lab.2.4.02kei.pdf","F",1,18,"=",2.081,"=",0.104,0.166318340785275,"F(1,18)= 2.081, p = .104",TRUE,FALSE,FALSE,0.89
"2012-18-LAB-lab.2.4.02kei.pdf","F",1,24,"=",9.526,"=",0.005,0.00504927690154456,"F(1,24) = 9.526, p = .005",FALSE,FALSE,FALSE,0.89
"2012-18-LAB-lab.2.4.02kei.pdf","F",1,24,"=",6.944,"=",0.015,0.0145020186972398,"F(1,24) = 6.944, p = .015",FALSE,FALSE,FALSE,0.89
"2012-18-LAB-lab.2.4.02kei.pdf","F",1,26,"=",10.821,"=",0.003,0.00288308727681069,"F(1,26) = 10.821, p = .003",FALSE,FALSE,FALSE,0.89
"2012-18-LAB-lab.2.4.02kei.pdf","F",1,26,"=",18.7911,"=",0,0.00019437265654884,"F(1,26) = 18.7911, p = .000",TRUE,FALSE,FALSE,0.89
"2012-18-LAB-lab.2.4.02kei.pdf","F",1,26,"=",29.395,"=",0,1.10809540255275e-05,"F(1,26) = 29.395, p = .000",TRUE,FALSE,FALSE,0.89
"2012-18-LAB-lab.2.4.02kei.pdf","F",1,26,"=",13.402,"=",0.001,0.0011247306009464,"F(1,26) = 13.402, p = .001",FALSE,FALSE,FALSE,0.89
"2012-18-LAB-lab.2.4.02kei.pdf","F",1,26,"=",15.286,"=",0.001,0.000591343942840144,"F(1,26) = 15.286, p = .001",FALSE,FALSE,FALSE,0.89
"2012-18-LAB-lab.2.4.02kei.pdf","F",1,26,"=",5.451,"=",0.028,0.0275507346673449,"F(1,26) = 5.451, p = .028",FALSE,FALSE,FALSE,0.89
"2012-18-LAB-lab.2.4.02kei.pdf","F",1,18,"=",11.703,"=",0.003,0.00304667110743418,"F(1,18) = 11.703, p = .003",FALSE,FALSE,FALSE,0.89
"2012-18-LAB-lab.2.4.02kei.pdf","F",1,18,"=",2.734,"=",0.116,0.115566943605271,"F(1,18) = 2.734, p = .116",FALSE,FALSE,FALSE,0.89
"2012-18-LAB-lab.2.4.02kei.pdf","F",1,18,"=",1.436,"=",0.246,0.24632815056296,"F(1,18) = 1.436,p = .246",FALSE,FALSE,FALSE,0.89
"2012-18-LAB-lab.2.4.02kei.pdf","t",NA,73,"=",-6.011,"=",0,6.66527413097463e-08,"t(73) = -6.011, p = .000",TRUE,FALSE,FALSE,0.89
"2012-18-LAB-lab.2.4.02kei.pdf","t",NA,73,"=",-2.51,"=",0.014,0.0142898775228299,"t(73) = -2.510, p = .014",FALSE,FALSE,FALSE,0.89
"2012-18-LAB-lab.2.4.02kei.pdf","t",NA,73,"=",-4.752,"=",0,9.83254618950191e-06,"t(73) = -4.752, p = .000",TRUE,FALSE,FALSE,0.89
"2012-18-LAB-lab.2.4.02kei.pdf","t",NA,73,"=",-5.926,"=",0,9.45679536912609e-08,"t(73) = -5.926, p = .000",TRUE,FALSE,FALSE,0.89
"2012-18-LAB-lab.2.4.02kei.pdf","t",NA,73,"=",-0.895,"=",0.374,0.373728679494191,"t(73) = -.895, p = .374",FALSE,FALSE,FALSE,0.89
"2012-18-LAB-lab.2.4.02kei.pdf","t",NA,73,"=",-0.686,"=",0.495,0.494886137835697,"t(73) = -.686, p = .495",FALSE,FALSE,FALSE,0.89
"2012-18-LAB-lab.2.4.02kei.pdf","t",NA,72,"=",-1.15,"=",0.254,0.25394930880768,"t(72) = -1.150, p = .254",FALSE,FALSE,FALSE,0.89
"2012-18-LAB-lab.2.4.02kei.pdf","F",1,68,"=",93.496,"=",0,2.11920052475762e-14,"F(1,68) = 93.496, p = .000",TRUE,FALSE,FALSE,0.89
"2012-18-LAB-lab.2.4.02kei.pdf","F",1,68,"=",3.608,"=",0.028,0.0617444656940345,"F(1,68) = 3.608, p = .028",TRUE,TRUE,FALSE,0.89
"2012-18-LAB-lab.2.4.02kei.pdf","F",1,73,"=",7.367,"=",0.008,0.00828409330101466,"F(1,73)= 7.367, p = .008",FALSE,FALSE,FALSE,0.89
"2012-18-LAB-lab.2.4.02kei.pdf","F",1,73,"=",0.559,"=",0.457,0.457065195962127,"F(1,73) = .559, p = .457",FALSE,FALSE,FALSE,0.89
